id,משרד,תאריך,כותרת,תקציר,סוג מקור,נושאים,רמת כיסוי,URL
act-publications-sec-34-74701,sec-34,2026-08-12,"החלטה מס' 74701 - הפחתת ערבות ברישיון מותנה מס' 02748623 לחברת קסם אנרגיה בע""מ",פרסום רשמי של רשות החשמל באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/74701
act-publications-sec-33-moag-pro-057,sec-33,2026-08-11,נוהל יצוא ביצי רבייה אפרוחים ועופות לרשות הפלסטינאית ועזה,פרסום רשמי של משרד החקלאות וביטחון המזון באתר gov.il (נהלים רגולטוריים). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/moag-pro-057
act-publications-sec-4-tashpav13,sec-4,2026-08-11,הודעה מס' פו/13 - הצבעת עובדי המדינה ובני משפחותיהם בחוץ-לארץ,פרסום רשמי של נציבות שירות המדינה באתר gov.il (הודעות נציבות שירות המדינה). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/tashpav13
act-decisions-sec-4-dec4434-2026,sec-4,2026-08-10,"הכרה בתוספת שכר קבועה לפי חוק שירות המדינה (גמלאות) [נוסח משולב], התש""ל-1970",החלטת ממשלה (4434) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4434-2026
act-publications-sec-34-74601,sec-34,2026-08-10,"החלטה מס' 74601- כשירות לקבלת רישיון ייצור בהיבטי תחרותיות ענפית לנגב אנרגיה פיוי בע""מ",פרסום רשמי של רשות החשמל באתר gov.il (החלטות). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/74601
act-publications-transport-merchant-marine-cadets-support-procedure,transport,2026-08-10,נוהל תמיכה לצוערים בצי הסוחר הישראלי יוני 2026 עד מאי 2027 טיוטה,פרסום רשמי של רשות הספנות והנמלים באתר gov.il (נהלים כלליים). התוכן המלא בקישור המקור.,government_page,grants; infrastructure; regulation,direct,https://www.gov.il/he/departments/policies/merchant-marine-cadets-support-procedure
act-decisions-sec-4-dec4427-2026,sec-4,2026-08-09,מינוי בשירות החוץ,החלטת ממשלה (4427) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4427-2026
act-decisions-sec-4-dec4429-2026,sec-4,2026-08-09,"תוכנית מתאר ארצית - שינוי גבול תוכנית שדה התעופה נתב""ג - תמ""א 4/ 2/ 4",החלטת ממשלה (4429) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4429-2026
act-decisions-sec-4-dec4430-2026,sec-4,2026-08-09,הארכת תוקף ההכרזה על מצב מיוחד בעורף,החלטת ממשלה (4430) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,,direct,https://www.gov.il/he/departments/policies/dec4430-2026
act-publications-sec-33-procedure_for_supervising_horse_stables_and_inspecting_for_business_licensing_purposes,sec-33,2026-08-09,נוהל פיקוח על אורוות סוסים ובדיקה לצורך רישוי עסקים,פרסום רשמי של משרד החקלאות וביטחון המזון באתר gov.il (נהלים רגולטוריים). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/procedure_for_supervising_horse_stables_and_inspecting_for_business_licensing_purposes
act-publications-sec-4-dec4424-2026,sec-4,2026-08-09,תיעדוף הוצאות הממשלה והצטיידות משרד הביטחון,פרסום רשמי של משרד ראש הממשלה באתר gov.il (החלטות ממשלה). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/dec4424-2026
act-publications-sec-4-dec4433-2026,sec-4,2026-08-09,הסדרת העמדת מקרקעין המוחזקים בידי חברות תחבורה ממשלתיות לצורך הקמת מתקני שידור סלולריים וקביעת מסגרת התשלומים בעד העמדתם והשימוש בהם,פרסום רשמי של משרד ראש הממשלה באתר gov.il (החלטות ממשלה). התוכן המלא בקישור המקור.,government_page,regulation,direct,https://www.gov.il/he/departments/policies/dec4433-2026
act-publications-sec-68-ngishot090826,sec-68,2026-08-09,רשות האוכלוסין וההגירה - חוברת הדרכה בתחום הנגישות לאנשים עם מוגבלויות,פרסום רשמי של רשות האוכלוסין וההגירה באתר gov.il (נהלים והנחיות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/ngishot090826
act-publications-sec-7-news09082026,sec-7,2026-08-09,"הוראת שעה לפקודת נציבות 03.06.00 - ""עריכת חיפושים וסמכויות נלוות"" - הארכה מס' 1",פרסום רשמי של שירות בתי הסוהר באתר gov.il (פקודות והוראות). התוכן המלא בקישור המקור.,government_page,,direct,https://www.gov.il/he/departments/policies/news09082026
act-decisions-sec-4-dec4426-2026,sec-4,2026-08-06,"פרוטוקול לשינוי הסכם בין ממשלת מדינת ישראל לבין ממשלת הרפובליקה הפדרלית של גרמניה בדבר תמיכה כספית במוסד יד ושם, רשות הזיכרון לשואה ולגבורה",החלטת ממשלה (4426) · החלטות ממשלה שפורסמה באתר gov.il. הטקסט המלא בקישור המקור.,policy_document,grants,direct,https://www.gov.il/he/departments/policies/dec4426-2026
