כלל,משרד,שנה,קוד תקנה,שם התקנה,מקורי,מעודכן,ביצוע,ראיה,מקור
ביצוע גבוה מהתקציב המעודכן,transport,2025,0040500143,מבחני נהיגה מעשיים,8616000,30695000,124230733,"בוצעו 124,230,733 ש""ח מול תקציב מעודכן של 30,695,000 ש""ח — פער של 93,535,733 ש""ח",https://next.obudget.org/i/budget/0040500143/2025
ביצוע גבוה מהתקציב המעודכן,transport,2023,0040500143,מבחני נהיגה מעשיים,8712000,12701000,90456958,"בוצעו 90,456,958 ש""ח מול תקציב מעודכן של 12,701,000 ש""ח — פער של 77,755,958 ש""ח",https://next.obudget.org/i/budget/0040500143/2023
ביצוע גבוה מהתקציב המעודכן,transport,2024,0040500143,מבחני נהיגה מעשיים,8712000,14288000,88665267,"בוצעו 88,665,267 ש""ח מול תקציב מעודכן של 14,288,000 ש""ח — פער של 74,377,267 ש""ח",https://next.obudget.org/i/budget/0040500143/2024
ביצוע גבוה מהתקציב המעודכן,transport,2025,0040520101,שיא כח אדם,36039000,32638000,49775921,"בוצעו 49,775,921 ש""ח מול תקציב מעודכן של 32,638,000 ש""ח — פער של 17,137,921 ש""ח",https://next.obudget.org/i/budget/0040520101/2025
ביצוע גבוה מהתקציב המעודכן,transport,2024,0040520101,שיא כח אדם,31290000,31653000,48689180,"בוצעו 48,689,180 ש""ח מול תקציב מעודכן של 31,653,000 ש""ח — פער של 17,036,180 ש""ח",https://next.obudget.org/i/budget/0040520101/2024
ביצוע גבוה מהתקציב המעודכן,transport,2023,0040520101,שיא כח אדם,31262000,31262000,45886059,"בוצעו 45,886,059 ש""ח מול תקציב מעודכן של 31,262,000 ש""ח — פער של 14,624,059 ש""ח",https://next.obudget.org/i/budget/0040520101/2023
ביצוע גבוה מהתקציב המעודכן,transport,2025,0040510112,תקורות למשרד התחבורה,0,23108000,44074238,"בוצעו 44,074,238 ש""ח מול תקציב מעודכן של 23,108,000 ש""ח — פער של 20,966,238 ש""ח",https://next.obudget.org/i/budget/0040510112/2025
ביצוע גבוה מהתקציב המעודכן,transport,2023,0040510112,תקורות למשרד התחבורה,0,27205000,35382961,"בוצעו 35,382,961 ש""ח מול תקציב מעודכן של 27,205,000 ש""ח — פער של 8,177,961 ש""ח",https://next.obudget.org/i/budget/0040510112/2023
ביצוע גבוה מהתקציב המעודכן,transport,2024,0040510112,תקורות למשרד התחבורה,0,22611000,34082592,"בוצעו 34,082,592 ש""ח מול תקציב מעודכן של 22,611,000 ש""ח — פער של 11,471,592 ש""ח",https://next.obudget.org/i/budget/0040510112/2024
ביצוע גבוה מהתקציב המעודכן,transport,2025,0040500150,פיתוח משרד התחבורה,16062000,25617000,32644546,"בוצעו 32,644,546 ש""ח מול תקציב מעודכן של 25,617,000 ש""ח — פער של 7,027,546 ש""ח",https://next.obudget.org/i/budget/0040500150/2025
ביצוע גבוה מהתקציב המעודכן,education,2023,0020620102,גננות עובדות מדינה,2069832000,2072314000,4704604000,"בוצעו 4,704,604,000 ש""ח מול תקציב מעודכן של 2,072,314,000 ש""ח — פער של 2,632,290,000 ש""ח",https://next.obudget.org/i/budget/0020620102/2023
ביצוע גבוה מהתקציב המעודכן,education,2024,0020620102,גננות עובדות מדינה,2108325000,2108325000,4487955333,"בוצעו 4,487,955,333 ש""ח מול תקציב מעודכן של 2,108,325,000 ש""ח — פער של 2,379,630,333 ש""ח",https://next.obudget.org/i/budget/0020620102/2024
ביצוע גבוה מהתקציב המעודכן,education,2025,0020620102,גננות עובדות מדינה,2208074000,1897074000,4262964000,"בוצעו 4,262,964,000 ש""ח מול תקציב מעודכן של 1,897,074,000 ש""ח — פער של 2,365,890,000 ש""ח",https://next.obudget.org/i/budget/0020620102/2025
ביצוע ללא תקציב מעודכן,education,2024,0020630104,שעות תקן בחטיבה עליונה - איחוד משכורת,0,0,720000000,"בוצעו 720,000,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020630104/2024
ביצוע ללא תקציב מעודכן,education,2025,0020630104,שעות תקן בחטיבה עליונה - איחוד משכורת,0,0,712318448,"בוצעו 712,318,448 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020630104/2025
ביצוע ללא תקציב מעודכן,education,2023,0020630104,שעות תקן בחטיבה עליונה - איחוד משכורת,0,0,662775000,"בוצעו 662,775,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020630104/2023
קפיצה חדה בין שנים,education,2026,0020650118,מענקים תוספתיים לפיתוח ושיפוצים במערכת החינוך,310180000,310180000,,"מ-4,914,000 ש""ח ב-2025 ל-310,180,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0020650118/2026
ביצוע גבוה מהתקציב המעודכן,education,2025,0020630308,פעולות מיוחדות במעיין החינוך התורני,5921000,38233000,173948973,"בוצעו 173,948,973 ש""ח מול תקציב מעודכן של 38,233,000 ש""ח — פער של 135,715,973 ש""ח",https://next.obudget.org/i/budget/0020630308/2025
ביצוע גבוה מהתקציב המעודכן,education,2025,0020630209,פעולות מיוחדות בחינוך העצמאי,4462000,41749000,168138352,"בוצעו 168,138,352 ש""ח מול תקציב מעודכן של 41,749,000 ש""ח — פער של 126,389,352 ש""ח",https://next.obudget.org/i/budget/0020630209/2025
ביצוע ללא תקציב מעודכן,education,2024,0020630308,פעולות מיוחדות במעיין החינוך התורני,66934000,0,145829174,"בוצעו 145,829,174 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020630308/2024
ביצוע ללא תקציב מעודכן,education,2024,0020630209,פעולות מיוחדות בחינוך העצמאי,58872000,0,124506706,"בוצעו 124,506,706 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020630209/2024
קפיצה חדה בין שנים,education,2026,0020600121,קידום פרויקטים במערכת החינוך,101272000,101272000,,"מ-200,000 ש""ח ב-2025 ל-101,272,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0020600121/2026
קפיצה חדה בין שנים,education,2026,0020600144,דמי שימוש בדיור ממשלתי,86503000,86503000,,"מ-3,523,000 ש""ח ב-2025 ל-86,503,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0020600144/2026
ביצוע גבוה מהתקציב המעודכן,education,2025,0020630312,שכר לימוד במוסדות על יסודי במעיין החינוך התורני,9641000,24322000,44321999,"בוצעו 44,321,999 ש""ח מול תקציב מעודכן של 24,322,000 ש""ח — פער של 19,999,999 ש""ח",https://next.obudget.org/i/budget/0020630312/2025
קפיצה חדה בין שנים,education,2026,0020600125,פעולות ופרוייקטים לקידום מערכת החינוך,43844000,43844000,,"מ-1,100,000 ש""ח ב-2025 ל-43,844,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0020600125/2026
קפיצה חדה בין שנים,education,2026,0020660153,סל תלמיד עולה,43035000,43035000,,"מ-1,602,000 ש""ח ב-2025 ל-43,035,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0020660153/2026
ביצוע גבוה מהתקציב המעודכן,education,2025,0020660128,הוצאות פנימיה וכפר,10321000,16033000,39832388,"בוצעו 39,832,388 ש""ח מול תקציב מעודכן של 16,033,000 ש""ח — פער של 23,799,388 ש""ח",https://next.obudget.org/i/budget/0020660128/2025
ביצוע ללא תקציב מעודכן,education,2024,0020660126,הוצאות בתי ספר ממשלתיים,12057000,0,38311355,"בוצעו 38,311,355 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020660126/2024
