id,שם רשמי,שם תצוגה,קודי תקציב,כרך ספר התקציב,סיכום כיסוי
sec-1,נשיא המדינה ולשכתו,נשיא המדינה ולשכתו,0001,,0 מקורות רשמיים מקוטלגים · 28 רשומות תקציב · 0 פריטי פעילות
sec-2,הכנסת,הכנסת,0002,,0 מקורות רשמיים מקוטלגים · 96 רשומות תקציב · 0 פריטי פעילות
sec-4,משרד ראש הממשלה,משרד ראש הממשלה,0004,,0 מקורות רשמיים מקוטלגים · 181 רשומות תקציב · 400 פריטי פעילות
sec-5,משרד האוצר,משרד האוצר,0005,,0 מקורות רשמיים מקוטלגים · 72 רשומות תקציב · 200 פריטי פעילות
sec-6,משרד הפנים,משרד הפנים,0006,,0 מקורות רשמיים מקוטלגים · 56 רשומות תקציב · 50 פריטי פעילות
sec-7,המשרד לביטחון לאומי,המשרד לביטחון לאומי,0007,,0 מקורות רשמיים מקוטלגים · 88 רשומות תקציב · 159 פריטי פעילות
sec-8,משרד המשפטים,משרד המשפטים,0008,,0 מקורות רשמיים מקוטלגים · 104 רשומות תקציב · 0 פריטי פעילות
sec-9,משרד החוץ,משרד החוץ,0009,,0 מקורות רשמיים מקוטלגים · 32 רשומות תקציב · 1 פריטי פעילות
sec-10,מטה לביטחון לאומי,מטה לביטחון לאומי,0010,,0 מקורות רשמיים מקוטלגים · 20 רשומות תקציב · 0 פריטי פעילות
sec-11,מבקר המדינה,מבקר המדינה,0011,,0 מקורות רשמיים מקוטלגים · 108 רשומות תקציב · 0 פריטי פעילות
sec-12,גמלאות ופיצויים,גמלאות ופיצויים,0012,,0 מקורות רשמיים מקוטלגים · 48 רשומות תקציב · 0 פריטי פעילות
sec-13,הוצאות שונות,הוצאות שונות,0013,,0 מקורות רשמיים מקוטלגים · 60 רשומות תקציב · 0 פריטי פעילות
sec-14,בחירות ומימון מפלגות,בחירות ומימון מפלגות,0014,,0 מקורות רשמיים מקוטלגים · 50 רשומות תקציב · 0 פריטי פעילות
sec-15,משרד הביטחון,משרד הביטחון,0015,,0 מקורות רשמיים מקוטלגים · 51 רשומות תקציב · 0 פריטי פעילות
sec-16,הוצאות חירום אזרחיות,הוצאות חירום אזרחיות,0016,,0 מקורות רשמיים מקוטלגים · 48 רשומות תקציב · 0 פריטי פעילות
sec-17,תאום הפעולות בשטחים,תאום הפעולות בשטחים,0017,,0 מקורות רשמיים מקוטלגים · 84 רשומות תקציב · 0 פריטי פעילות
sec-18,הרשויות המקומיות,הרשויות המקומיות,0018,,0 מקורות רשמיים מקוטלגים · 40 רשומות תקציב · 0 פריטי פעילות
sec-19,"מדע, תרבות וספורט","מדע, תרבות וספורט",0019,,0 מקורות רשמיים מקוטלגים · 68 רשומות תקציב · 55 פריטי פעילות
education,משרד החינוך,משרד החינוך,0020,Budget11-Education,5 מקורות רשמיים מקוטלגים · 137 רשומות תקציב · 1 פריטי פעילות
sec-21,ההשכלה הגבוהה,ההשכלה הגבוהה,0021,,0 מקורות רשמיים מקוטלגים · 16 רשומות תקציב · 0 פריטי פעילות
sec-22,המשרד לשירותי דת,המשרד לשירותי דת,0022,,0 מקורות רשמיים מקוטלגים · 52 רשומות תקציב · 15 פריטי פעילות
sec-23,משרד הרווחה,משרד הרווחה,0023,,0 מקורות רשמיים מקוטלגים · 118 רשומות תקציב · 63 פריטי פעילות
health,משרד הבריאות,משרד הבריאות,0024,Budget15-Health,6 מקורות רשמיים מקוטלגים · 123 רשומות תקציב · 199 פריטי פעילות
sec-25,הרשות לניצולי השואה,הרשות לניצולי השואה,0025,,0 מקורות רשמיים מקוטלגים · 44 רשומות תקציב · 0 פריטי פעילות
environment,המשרד להגנת הסביבה,הגנת הסביבה,0026,Budget9-Environment,2 מקורות רשמיים מקוטלגים · 64 רשומות תקציב · 81 פריטי פעילות
sec-27,הקצבות לביטוח לאומי,הקצבות לביטוח לאומי,0027,,0 מקורות רשמיים מקוטלגים · 37 רשומות תקציב · 0 פריטי פעילות
sec-29,משרד הבינוי והשיכון,משרד הבינוי והשיכון,0029,,0 מקורות רשמיים מקוטלגים · 32 רשומות תקציב · 73 פריטי פעילות
sec-30,משרד העלייה והקליטה,משרד העלייה והקליטה,0030,,0 מקורות רשמיים מקוטלגים · 60 רשומות תקציב · 0 פריטי פעילות
sec-31,הוצאות ביטחוניות שונות,הוצאות ביטחוניות שונות,0031,,0 מקורות רשמיים מקוטלגים · 12 רשומות תקציב · 0 פריטי פעילות
sec-33,משרד החקלאות,משרד החקלאות,0033,,0 מקורות רשמיים מקוטלגים · 56 רשומות תקציב · 118 פריטי פעילות
sec-34,משרד האנרגיה,משרד האנרגיה,0034,,0 מקורות רשמיים מקוטלגים · 50 רשומות תקציב · 200 פריטי פעילות
sec-35,הועדה לאנרגיה אטומית,הועדה לאנרגיה אטומית,0035,,0 מקורות רשמיים מקוטלגים · 12 רשומות תקציב · 0 פריטי פעילות
sec-36,תעסוקה,תעסוקה,0036,,0 מקורות רשמיים מקוטלגים · 100 רשומות תקציב · 36 פריטי פעילות
sec-37,משרד התיירות,משרד התיירות,0037,,0 מקורות רשמיים מקוטלגים · 52 רשומות תקציב · 39 פריטי פעילות
economy,משרד הכלכלה והתעשייה,משרד הכלכלה,0038,Budget22-Economics-Industry,1 מקורות רשמיים מקוטלגים · 64 רשומות תקציב · 92 פריטי פעילות
sec-39,משרד התקשורת,משרד התקשורת,0039,,0 מקורות רשמיים מקוטלגים · 32 רשומות תקציב · 200 פריטי פעילות
transport,משרד התחבורה והבטיחות בדרכים,משרד התחבורה,0040,Budget24-Transportation,5 מקורות רשמיים מקוטלגים · 76 רשומות תקציב · 200 פריטי פעילות
sec-41,רשות ממשלתית למים וביוב,רשות ממשלתית למים וביוב,0041,,0 מקורות רשמיים מקוטלגים · 28 רשומות תקציב · 0 פריטי פעילות
