id,כותרת,מפרסם,סוג מקור,משרדים,שנות תקציב,רמת אמינות,סטטוס אחזור,URL
src-0071cdeaa0ed,תקציב הצעת,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,education,2025,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/Budget11-Education2025.pdf
src-01438d30e367,"ירושלים - ניסן התש פ""ג - מרץ 2023 הצעה לשנ ות תקציב המדינה עיקרי התקציב",הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,,2023; 2024,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/BudgetMain-2023-2024.pdf
src-066345128e9d,ממשלות ישראל לפי מספר,הכנסת,הרכב הממשלה,,,מקור רשמי ראשוני,retrieved,https://knesset.gov.il/govt/heb/GovtByNumber.asp
src-06f36509720d,· הצעת תקציב לשנת הכספים2026 ודברי הסבר מוגשים לכנסת העשרים וחמש רשויות פיקוח,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,,2026,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/Budget28-Supervision2026.pdf
src-0b0eb2257952,· הצעת תקציב לשנת הכספים2026 ודברי הסבר מוגשים לכנסת העשרים וחמש,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,economy,2026,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/About/documents/budget/Budget22-Economics-Industry2026.pdf
src-13d9d511dd5b,תקציב המדינה במספרים,הכנסת,עמוד ריכוז מסמכי תקציב,,,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/About/pages/budget/budgetinfo8.aspx
src-187fbd6d3d31,ממשלות ישראל,הכנסת,הרכב הממשלה,,,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/mk/government/pages/governments.aspx
src-1bf27634fd25,"ד ו ח מ ב ק ר ה מ ד י נ ה ▪ תשרי ""התשפ ו ▪ אוקטובר 2025 ▪",מבקר המדינה,דוח מבקר המדינה,,2025,מקור רשמי ראשוני,retrieved,https://library.mevaker.gov.il/sites/DigitalLibrary/Documents/2025/2025-10/2025.10-203-Transportation.pdf
src-1fb06d960b3c,"יומני שרים, סגני שרים ומנכ""לים | חוק חופש המידע — היחידה הממשלתית לחופש המידע",היחידה הממשלתית לחופש המידע,עמוד היומנים המרוכז — היחידה הממשלתית לחופש המידע,,,מקור רשמי ראשוני,not_retrieved_error,https://foi.gov.il/he/node/6747
src-2274762789d4,· הצעת תקציב לשנת הכספים 2025 ודברי הסבר מוגשים לכנסת העשרים וחמש,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,transport,2025,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/Budget24-Transportation2025.pdf
src-3a41d9408a0c,"רפורמת גפ""ן (גמישות פדגוגית-ניהולית) במערכת החינוך",הכנסת,מרכז המחקר והמידע של הכנסת,education,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/73dd82e9-5671-ed11-8155-005056aa4246/2_73dd82e9-5671-ed11-8155-005056aa4246_11_19906.pdf
src-46be88e4fbd5,מאגרי מידע — Government Data (חיפוש: תקציב וביצוע),data.gov.il — מאגרי מידע ממשלתיים,קטלוג נתונים פתוחים,,,מקור רשמי ראשוני,retrieved,https://data.gov.il/dataset?q=%D7%AA%D7%A7%D7%A6%D7%99%D7%91+%D7%95%D7%91%D7%99%D7%A6%D7%95%D7%A2
src-4d0ee52fefb0,תקציב הצעת,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,health,2023,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/Budget15-Health2023.pdf
src-52af0e09d6fd,· הצעת תקציב לשנת הכספים2026 ודברי הסבר מוגשים לכנסת העשרים וחמש,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,transport,2026,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/Budget24-Transportation2026.pdf
src-58b1c6740f30,4.8 מיליארד ₪ נוספו לתקציב משרד הבריאות,הכנסת,הודעה לעיתונות,health,2025,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/News/PressReleases/pages/press24032025a.aspx
src-5e65ac55974d,תקציב המדינה - הצעה לשנות 2024-2023,הכנסת,עמוד ריכוז מסמכי תקציב,,2023; 2024,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/About/pages/budget/budgetdocs2023-2024.aspx
src-62c69041604b,תקציב המדינה - הצעה לשנת 2025,הכנסת,עמוד ריכוז מסמכי תקציב,,2025,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/About/pages/budget/budgetdocs2025.aspx
src-681776e25e1e,מבט על תקציב החינוך,הכנסת,מרכז המחקר והמידע של הכנסת,education,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/fa35dfcc-1fbd-ef11-a855-005056aa1f91/2_fa35dfcc-1fbd-ef11-a855-005056aa1f91_11_20901.pdf
src-6d5495952ed9,ניתוח הכנסות המדינה בשנת 2024 והצעת התקציב לשנת 2025.,הכנסת,מרכז המחקר והמידע של הכנסת,,2024; 2025,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/6745f598-afce-ef11-a856-005056aa1f91/2_6745f598-afce-ef11-a856-005056aa1f91_11_20780.pdf
src-6fde5e83d453,דוחות על ביצוע התקציב לשנת 2024 — משרד האוצר,מדינת ישראל — Gov.il,דוח ביצוע תקציב,,2024,מקור רשמי ראשוני,not_retrieved_error,https://www.gov.il/he/pages/budget-execution-reports-2024
src-6fef18de462c,תיאור וניתוח הצעת תקציב המדינה לשנת 2025 וההנחות המקרו,הכנסת,מרכז המחקר והמידע של הכנסת,,2025,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/d3985043-afce-ef11-a856-005056aa1f91/2_d3985043-afce-ef11-a856-005056aa1f91_11_20781.pdf
src-702c3efd9754,יומני שרי ממשלת ישראל שנת 2023 — מסמכים — מידע לעם,מידע לעם — התנועה לחופש המידע,מאגר מסמכי חופש מידע (שכבת עזר אזרחית),,2023,שכבת עזר,not_retrieved_error,https://www.odata.org.il/dataset/2023
src-735ab79375b8,הצעת התקציב הנוסף לשנת הכספים 2024 ודברי הסבר,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,,2024,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/About/documents/budget/BudgetExtra2024.pdf
src-7f6eed9268db,· הצעת תקציב לש ו ת הכספים 2022-2021 ודברי הסבר סת מוגשים לכ ה עשרים וארבע,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,health,,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/about/documents/budget/Budget15-Health.pdf
src-870d2dbf620c,אוגדן מסמכים בנושאי איכות הסביבה,הכנסת,מרכז המחקר והמידע של הכנסת,environment,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/1abb8d55-f7f7-e411-80c8-00155d010977/2_1abb8d55-f7f7-e411-80c8-00155d010977_11_10594.pdf
src-8a97a2e9dea2,תקציב משרד התחבורה והבטיחות בדרכים בדגש על תקציבי התחבורה הציבורית,הכנסת,מרכז המחקר והמידע של הכנסת,transport,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/9d1207dc-1277-e511-80d1-00155d0ad6b2/2_9d1207dc-1277-e511-80d1-00155d0ad6b2_11_8892.pdf
src-90a246ec46c8,"מדינת ישראל האוצר- אגף התקציבים תקציב פיתוח, ירושלים",הכנסת,מסמך שהוגש לוועדת הכספים,,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/FINANCE/17d4808b-426e-f111-a13e-005056aa7c52/4_17d4808b-426e-f111-a13e-005056aa7c52_13_21634.pdf
src-9533d35163fe,הצעת תקציב,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,health,,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/Budget15-Health.pdf
src-98a7770ab0fc,"כתיבה: נעם בוטוש ונתנאל קופראק, כלכלנים",הכנסת,מרכז המחקר והמידע של הכנסת,,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/c06946d2-f784-ec11-8147-00155d0401c3/2_c06946d2-f784-ec11-8147-00155d0401c3_11_19424.pdf
src-9be0019edf77,"רזרבות והוצאות שונות בתקציב המדינה — תקצוב, ניצול ושקיפות",מבקר המדינה,דוח מבקר המדינה,,,מקור רשמי ראשוני,retrieved,https://library.mevaker.gov.il/sites/DigitalLibrary/Pages/Reports/133-8.aspx
src-9f7d37948113,יומני שרים — עמוד הריכוז ב-gov.il,מדינת ישראל — Gov.il,עמוד ממשלתי רשמי,,,מקור רשמי ראשוני,not_retrieved_error,https://www.gov.il/he/pages/minister_diary
src-a21d2a262103,סוגיות מרכזיות בתחום הבריאות מוגש לחברי הכנסת — מרכז המחקר והמידע,הכנסת,מרכז המחקר והמידע של הכנסת,health,,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/Activity/Info/MMMSummaries19/Health.pdf
src-a3284e3fc68b,מידע לעם — מאגר המסמכים של התנועה לחופש המידע (מאגר היומנים),מידע לעם — התנועה לחופש המידע,מאגר מסמכי חופש מידע (שכבת עזר אזרחית),,,שכבת עזר,not_retrieved_error,https://www.odata.org.il/dataset
src-a49d621b041b,מבט על תקציב המדינה לשנת 2026,הכנסת,מרכז המחקר והמידע של הכנסת,,2026,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/2ea0559c-53fb-f011-a13e-005056aa7c52/2_2ea0559c-53fb-f011-a13e-005056aa7c52_11_21418.pdf
src-aa4df8193f29,הצעת תקציב,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,environment,,מקור רשמי ראשוני,retrieved,https://m.knesset.gov.il/About/documents/budget/Budget9-Environment.pdf
src-ab1ac9214213,מפתח התקציב - תקציב משרד התחבורה (40),מפתח התקציב — הסדנא לידע ציבורי,שכבת עזר תקציבית (לא מקור רשמי),transport,2025,שכבת עזר,retrieved,https://next.obudget.org/i/budget/0040/2025
src-af04be72da8f,תקצוב מערכת הבריאות בישראל וניתוח הצעת תקציב משרד הבריאות,הכנסת,מרכז המחקר והמידע של הכנסת,health,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/48c50edd-6c2a-ec11-8138-00155d0403e7/2_48c50edd-6c2a-ec11-8138-00155d0403e7_11_18228.pdf
src-b0ded4ca1192,שר הבריאות הציג את תקציב משרדו לשנת 2025,הכנסת,הודעה לעיתונות,,2025,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/News/PressReleases/pages/press11.02.25b.aspx
src-b2dcdcf9661e,מבט על תקציב המדינה לשנת 2025,הכנסת,מרכז המחקר והמידע של הכנסת,,2025,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/180b7347-20bd-ef11-a855-005056aa1f91/2_180b7347-20bd-ef11-a855-005056aa1f91_11_20782.pdf
src-c4ecbf16dbbc,ניתוח התפתחות הגירעון התקציבי והסביבה המקרו-כלכלית,הכנסת,מרכז המחקר והמידע של הכנסת,,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/9640aea7-d051-f011-a85f-005056aa9911/2_9640aea7-d051-f011-a85f-005056aa9911_11_21007.pdf
src-c7b0d46f072d,הצעת תקציב,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,transport,,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/about/documents/budget/Budget24-Transportation.pdf
src-cb4b98f60368,מונחון לביאור תקציב מערכת החינוך,הכנסת,מרכז המחקר והמידע של הכנסת,education,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/fc793c1b-6855-eb11-811a-00155d0af32a/2_fc793c1b-6855-eb11-811a-00155d0af32a_11_18149.pdf
src-cf25861a77c8,דוח ביצוע התקציב לשנת 2024,מדינת ישראל — Gov.il,דוח ביצוע תקציב,,2024,מקור רשמי ראשוני,retrieved,https://www.gov.il/BlobFolder/reports/budget-execution-reports-2024/he/files_budget-execution-reports_budget-execution-reports-2024-report-accessible-file.pdf
src-cf643ae7b490,דוח ביצוע תקציב 2024 לשנת הכספים — מבקר המדינה,מבקר המדינה,דוח ביצוע תקציב,,2024,מקור רשמי ראשוני,retrieved,https://media.mevaker.gov.il/mevaker/media/ewgceczh/budgetexecution2024.pdf
src-d3128608710e,קווי יסוד והסכמים קואליציוניים,הכנסת,הרכב הממשלה,,,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/mk/government/pages/coalitionagreements.aspx
src-d5abed2a82c5,· הצעת תקציב לשנת הכספים2026 ודברי הסבר מוגשים לכנסת העשרים וחמש,הכנסת,ספר התקציב — הצעת תקציב ודברי הסבר,,2026,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/About/documents/budget/Budget10-Science-Culture-Sport2026.pdf
src-d6924a43194c,"ביצוע התקציב — החשב הכללי, משרד האוצר",משרד האוצר,דוח ביצוע תקציב,,,מקור רשמי ראשוני,not_retrieved_error,https://mof.gov.il/AG/BudgetExecution/Pages/default.aspx
src-e32604c3f881,תיאור וניתוח הצעת תקציב משרד החינוך לשנים 2021 ו-2022,הכנסת,מרכז המחקר והמידע של הכנסת,education,,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/5b0f90fb-bf21-ec11-813f-00155d0401c3/2_5b0f90fb-bf21-ec11-813f-00155d0401c3_11_18185.pdf
src-e5324937ada4,ניתוח הכנסות המדינה בשנת 2025 והצעת התקציב לשנת 2026,הכנסת,מרכז המחקר והמידע של הכנסת,,2025; 2026,מקור רשמי ראשוני,retrieved,https://fs.knesset.gov.il/globaldocs/MMM/3a4d2e74-99fa-f011-a13e-005056aa7c52/2_3a4d2e74-99fa-f011-a13e-005056aa7c52_11_21438.pdf
src-f8343e3c3fcb,"מבקר המדינה — ביצוע תקציב המלחמה, נובמבר 2025",מבקר המדינה,דוח מבקר המדינה,,2025,מקור רשמי ראשוני,retrieved,https://library.mevaker.gov.il/sites/DigitalLibrary/Documents/2025/2025-Financial-and-Budgetary/2025-Financial-and-Budgetary-102-C.pdf
src-f83d653f28ea,כל ממשלות ישראל,הכנסת,הרכב הממשלה,,,מקור רשמי ראשוני,retrieved,https://main.knesset.gov.il/mk/government/Pages/governments.aspx
src-f89f42d6aa0b,חברי הממשלה — Gov.il,מדינת ישראל — Gov.il,עמוד ממשלתי רשמי,,,מקור רשמי ראשוני,not_retrieved_error,https://www.gov.il/he/Departments/General/members_of_the_cabinet
