משרד,ספק,סוג ישות,מספר התקשרויות,היקף רב-שנתי,שולם עד כה,קישור
transport,אניה-ד״ר ו. ריזה ובנו בע״מ,company,1,20518819.4,0,https://next.obudget.org/i/org/company/510051436
transport,עירית ירושלים,municipality,7,17451377.45,42698.75,https://next.obudget.org/i/org/municipality/500230008
transport,GOOGLE CLOUD EMEA LIMITED,,4,16428887.21,0,
transport,נס אי.אס  בע״מ,company,2,15624918.2,0,https://next.obudget.org/i/org/company/515482198
transport,אלייד - ג'נרי 2  בע״מ,company,26,15220727.77,70960.54,https://next.obudget.org/i/org/company/514961853
transport,מודיעין אזרחי בעמ,company,1,10600005.31,1313321.06,https://next.obudget.org/i/org/company/510421027
transport,י ב מ ישראל בע״מ,company,2,10182156.54,0,https://next.obudget.org/i/org/company/510067333
transport,נס א.ט.  בע״מ,company,16,9341996.69,85984.43,https://next.obudget.org/i/org/company/520040122
transport,אלעד מערכות תוכנה בע״מ,company,5,5899335.14,0,https://next.obudget.org/i/org/company/510929177
transport,הראל טכנולוגיות מידע בע״מ,company,47,5657659.35,1280757.38,https://next.obudget.org/i/org/company/511401002
transport,בזק החברה הישראלית לתקשורת   בע״מ,company,6,5059061.89,316872.69,https://next.obudget.org/i/org/company/520031931
transport,קונסיסט מערכות בע״מ,company,10,4896284.29,219620.54,https://next.obudget.org/i/org/company/511277261
transport,עירית תל-אביב-יפו,municipality,5,4797887.59,3344462.9,https://next.obudget.org/i/org/municipality/500250006
transport,פז קמעונאות ואנרגיה  בע״מ,company,3,4214021.52,547550.87,https://next.obudget.org/i/org/company/510216054
transport,יו-ביטק סולושנס בע״מ,company,4,4193958.22,1166720.22,https://next.obudget.org/i/org/company/514008333
education,מילגם בע״מ,company,31,2948617742.99,25580954.17,https://next.obudget.org/i/org/company/510982325
education,החברה למתנ״סים - מרכזים קהילתיים בישראל בע״מ (חל״צ),association,45,1731521603.83,147187766.62,https://next.obudget.org/i/org/association/510525348
education,אם גרופ בע״מ,company,14,391354976.12,0,https://next.obudget.org/i/org/company/511464927
education,גוינט ישראל (חל״צ),association,9,294753365.42,681995.63,https://next.obudget.org/i/org/association/510681414
education,מסע ישראלי בע״מ,company,7,293513278.2,7340752.46,https://next.obudget.org/i/org/company/513918961
education,וואן פתרונות טכנולוגיים בע״מ,company,81,287675357.91,217807.2,https://next.obudget.org/i/org/company/520039710
education,אקסיומה - הישגים בהשכלה בע״מ,company,20,280539525.05,78664802.29,https://next.obudget.org/i/org/company/512693987
education,מלם הדרכה  בע״מ,company,23,264447536.5,2160168.42,https://next.obudget.org/i/org/company/512201187
education,מרמנת אירגון וניהול פרויקטים בע״מ,company,79,255578747.59,32431218.62,https://next.obudget.org/i/org/company/512027129
education,המרכז לטכנולוגיה חינוכית (חל״צ),association,66,225357277.65,93701380.92,https://next.obudget.org/i/org/association/510557705
education,"טלדור מערכות מחשבים (1986) בע""מ",,57,221030211.79,203321619.09,
education,סייט אנד סאונד חינוך בע״מ,company,5,177359550,0,https://next.obudget.org/i/org/company/510526106
education,ביקורופא בע״מ,company,4,163971162.45,48644168.6,https://next.obudget.org/i/org/company/511657322
education,בזק החברה הישראלית לתקשורת   בע״מ,company,21,152641656.26,61192945.96,https://next.obudget.org/i/org/company/520031931
education,מטריקס אי.טי. אינטגרציה ותשתיות בע״מ,company,69,134241359.29,76184689.28,https://next.obudget.org/i/org/company/511204026
health,שירותי בריאות כללית,ottoman-association,151,246894430.57,4808049.8,https://next.obudget.org/i/org/ottoman-association/589906114
health,"אותי (ע""ר)",association,5,240354944.5,0,https://next.obudget.org/i/org/association/580183986
health,פמי פרימיום בע״מ,company,16,203108353.39,85870502.51,https://next.obudget.org/i/org/company/512676206
health,"אלו""ט - אגודה לאומית לילדים ובוגרים עם אוטיזם (ע''ר)",association,4,192353411.7,0,https://next.obudget.org/i/org/association/580064335
health,טיפול לי עד הבית  בע״מ,company,2,155049262.78,68588321.37,https://next.obudget.org/i/org/company/515795292
health,טיפול רפואי מידי (טר״מ) בע״מ,company,8,153395724.99,92480585.98,https://next.obudget.org/i/org/company/511290967
health,שראל - פתרונות לוגיסטיים ומוצרים לרפואה מתקדמת בע״מ,company,1156,139515594.91,72841835.74,https://next.obudget.org/i/org/company/511900805
health,מכבי שירותי בריאות,ottoman-association,14,110609853,0,https://next.obudget.org/i/org/ottoman-association/589902279
health,קופת חולים מאוחדת מרכזית עממי,ottoman-association,14,95957908,67200,https://next.obudget.org/i/org/ottoman-association/589958495
health,מלם מערכות בע״מ,company,73,89350744.98,21016865.53,https://next.obudget.org/i/org/company/520044041
health,גוינט ישראל (חל״צ),association,23,83176726.92,11485695.8,https://next.obudget.org/i/org/association/510681414
health,עמל הולדינגס א.ד.  בע״מ,company,11,76809355.07,1805976.17,https://next.obudget.org/i/org/company/511295412
health,עירית ירושלים,municipality,12,76016152.09,38528959.11,https://next.obudget.org/i/org/municipality/500230008
health,"פרח לצמוח במקום טוב (ע""ר)",association,9,74153975.71,33635481.73,https://next.obudget.org/i/org/association/580344414
health,קידום פרוייקטים שיקומיים ב.ה. בע״מ,company,15,73398358.89,1452500.74,https://next.obudget.org/i/org/company/513295170
environment,מסיעי אריה שאשא בע״מ,company,10,2555575840.01,1255345.7,https://next.obudget.org/i/org/company/510840028
environment,חוכמת הבורקס גבינז,,18,1116296664.46,85560.46,
environment,40823287,,2,1116207104,0,
environment,הסעות מוני סיטון בע״מ,company,3,1022057280,11076.91,https://next.obudget.org/i/org/company/511011140
environment,"תיירות צובה - אגודה שיתופית חקלאית בע""מ",cooperative,2,570049951,5967,https://next.obudget.org/i/org/cooperative/570043984
environment,42836764,,1,558535944,0,
environment,42807246,,1,558370045,0,
environment,בזק החברה הישראלית לתקשורת   בע״מ,company,12,520523853.04,259440.48,https://next.obudget.org/i/org/company/520031931
environment,ישרוטל בע״מ,company,1,520042482,0,https://next.obudget.org/i/org/company/520042482
environment,סנקאר שירותים לוגיסטיים בע״מ,company,3,517064000.23,5798590.42,https://next.obudget.org/i/org/company/511464000
environment,ל.י. קבוצת פרץ את חדידה  בע״מ,company,1,516739711,0,https://next.obudget.org/i/org/company/516739711
environment,42444526,,1,516664893,0,
environment,שי גורדון  בע״מ,company,2,516641807,699.66,https://next.obudget.org/i/org/company/516641107
environment,42496752,,1,516633021,0,
environment,עמית עידן  בע״מ,company,1,516429917,0,https://next.obudget.org/i/org/company/516429917
economy,בנק לאומי לישראל בעמ,company,1,135040201,123957680,https://next.obudget.org/i/org/company/520018078
economy,בנק הפועלים בע״מ,company,1,114917357,103179050,https://next.obudget.org/i/org/company/520000118
economy,אתנה מעוף  בע״מ,company,2,104476035.37,63501013.21,https://next.obudget.org/i/org/company/516228442
economy,בידיאו מעוף בע״מ,company,4,98231554.58,50221120.57,https://next.obudget.org/i/org/company/514752450
economy,בנק מזרחי טפחות בעמ,company,1,92925141,80356616,https://next.obudget.org/i/org/company/520000522
economy,אביב אלנתן  בע״מ,company,3,81015528.49,36102217.98,https://next.obudget.org/i/org/company/516227022
economy,טימי לעסקים   בע״מ,company,2,75135841.79,37557368.47,https://next.obudget.org/i/org/company/516227097
economy,מרכז הגליל לחדשנות ויצור מתקדם בישראל  בע״מ,company,3,72987461.71,16546855.32,https://next.obudget.org/i/org/company/516093895
economy,ישראכרט   בע״מ,company,2,54999999.58,2956206.87,https://next.obudget.org/i/org/company/510706153
economy,מכון יעיל לתעשייה בע״מ,company,2,47283039.07,7820091.75,https://next.obudget.org/i/org/company/516087947
economy,ענבל חברה לביטוח בע״מ,company,21,30218249.04,24880561.07,https://next.obudget.org/i/org/company/520031030
economy,חושן אס אמ בי שותפות מוגבלת,partnership,1,26000000,1904320,https://next.obudget.org/i/org/partnership/540292570
economy,מכון התקנים הישראלי,law_mandated_organization,11,23520051.34,3178404.81,https://next.obudget.org/i/org/law_mandated_organization/500500137
economy,מכון המזון הלאומי  בע״מ,company,1,20112996.15,0,https://next.obudget.org/i/org/company/516697802
economy,בידיאו מנהלות  בע״מ,company,1,16121722.5,0,https://next.obudget.org/i/org/company/516991346
