id,נושא,תיאור,מילות מפתח,מספר פריטי פעילות
public-transport,תחבורה ציבורית,"אוטובוסים, רכבות, רכבות קלות, קווי שירות, תעריפים ונגישות תחבורתית.",תחבורה ציבורית; אוטובוס; רכבת קלה; רכבת ישראל; מטרו; נתיב תחבורה ציבורית; רב-קו; תעריף נסיעה,12
infrastructure,תשתיות,"סלילת כבישים, גשרים, מחלפים, נמלים, שדות תעופה ופרויקטי בנייה הנדסיים.",כביש; מחלף; גשר; נמל; שדה תעופה; תשתית; סלילה; פרויקט הנדסי,16
education,חינוך,"בתי ספר, גני ילדים, תוכניות לימודים, בחינות והכשרת מורים.",בית ספר; בתי ספר; גן ילדים; תלמידים; מורים; תוכנית לימודים; בגרות; חינוך מיוחד,8
health,בריאות,"בתי חולים, רפואת קהילה, קופות חולים, תרופות ובריאות הציבור.",בית חולים; בתי חולים; קופות החולים; רפואת קהילה; סל התרופות; מיטות אשפוז; בריאות הציבור; חיסון,17
workforce,כוח אדם והכשרות,"תקינה ותקנים, גיוס עובדים, הכשרות מקצועיות והסכמי שכר.",תקן; תקינה; גיוס עובדים; הכשרה מקצועית; הסכם שכר; כוח אדם; מכרז כוח אדם,28
regulation,רגולציה,"תקנות, חוזרי מנכ""ל, נהלים, רישוי ואכיפה מנהלית.","תקנות; חוזר מנכ""ל; נוהל; רישוי; אכיפה; צו; רגולציה; תיקון חוק",691
digital,חדשנות ודיגיטל,"שירותים דיגיטליים, מערכות מידע, נתונים פתוחים וחדשנות טכנולוגית.",דיגיטל; דיגיטלי; מערכת מידע; חדשנות; נתונים פתוחים; אתר שירות; אפליקציה,12
local-authorities,רשויות מקומיות,"עיריות, מועצות מקומיות ואזוריות, מימון רשויות והסכמי גג.",רשות מקומית; רשויות מקומיות; עירייה; מועצה מקומית; מועצה אזורית; הסכם גג,13
emergency,חירום וביטחון,"היערכות לחירום, מלחמה, פינוי, מיגון וביטחון אזרחי.",חירום; מלחמה; פינוי; מיגון; מרחב מוגן; היערכות; פיקוד העורף; חוסן,122
environment,איכות סביבה,"איכות אוויר, פסולת ומיחזור, זיהום, שמירת טבע ואקלים.",איכות אוויר; פסולת; מיחזור; זיהום; שמירת טבע; אקלים; גזי חממה; שפכים,13
procurement,רכש,"מכרזים, התקשרויות, רכש ממשלתי וספקים.",מכרז; התקשרות; רכש; ספק; מכרז פומבי; ועדת מכרזים,89
grants,תמיכות,"מבחני תמיכה, קולות קוראים, מענקים והקצאות לגופים חוץ-ממשלתיים.",מבחני תמיכה; קול קורא; קולות קוראים; מענק; תמיכה; הקצאה; מלגה,40
