משרד,שנה,סיווג ראשי,סיווג משני,תקציב מקורי,תקציב מעודכן,ביצוע/אומדן,מספר תקנות,מקור
economy,2023,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-622211633,12,https://next.obudget.org/i/budget/0038/2023
economy,2023,העברות,מוצרים ציבוריים,0,0,0,1,https://next.obudget.org/i/budget/0038/2023
economy,2023,העברות,סובסידיה,1290666000,2899906000,3075725401,43,https://next.obudget.org/i/budget/0038/2023
economy,2023,העברות,רזרבה,165315000,0,0,5,https://next.obudget.org/i/budget/0038/2023
economy,2023,העברות,שכר עקיף,29010000,54137000,31773617,1,https://next.obudget.org/i/budget/0038/2023
economy,2023,העברות פנים תקציביות,השתתפויות,-845135000,-953811000,-944269281,10,https://next.obudget.org/i/budget/0038/2023
economy,2023,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0038/2023
economy,2023,קניות,קניות בארץ,377588000,753364000,441736403,24,https://next.obudget.org/i/budget/0038/2023
economy,2023,קניות,"קניות בחו""ל",1323686000,1572785000,1566236466,8,https://next.obudget.org/i/budget/0038/2023
economy,2023,קניות,רזרבה,163245000,0,0,6,https://next.obudget.org/i/budget/0038/2023
economy,2023,שכר,רזרבה,8654000,0,0,1,https://next.obudget.org/i/budget/0038/2023
economy,2023,שכר,שכר בארץ,147904000,148113000,143372261,23,https://next.obudget.org/i/budget/0038/2023
economy,2023,שכר,"שכר בחו""ל",59734000,67219000,67143999,6,https://next.obudget.org/i/budget/0038/2023
economy,2024,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-436130255,12,https://next.obudget.org/i/budget/0038/2024
economy,2024,העברות,סובסידיה,3140936000,3629403000,3918638883,45,https://next.obudget.org/i/budget/0038/2024
economy,2024,העברות,רזרבה,93725000,24094000,0,5,https://next.obudget.org/i/budget/0038/2024
economy,2024,העברות,שכר עקיף,27360000,47720000,30527622,1,https://next.obudget.org/i/budget/0038/2024
economy,2024,העברות פנים תקציביות,השתתפויות,-919873000,-919585000,-921687985,10,https://next.obudget.org/i/budget/0038/2024
economy,2024,חשבונות מעבר,חשבונות מעבר,0,0,192993,1,https://next.obudget.org/i/budget/0038/2024
economy,2024,קניות,קניות בארץ,295582000,697081000,460958560,25,https://next.obudget.org/i/budget/0038/2024
economy,2024,קניות,"קניות בחו""ל",1591737000,1610785000,1611344179,6,https://next.obudget.org/i/budget/0038/2024
economy,2024,קניות,רזרבה,89884000,0,0,6,https://next.obudget.org/i/budget/0038/2024
economy,2024,שכר,רזרבה,8788000,0,0,1,https://next.obudget.org/i/budget/0038/2024
economy,2024,שכר,שכר בארץ,150762000,157773000,150137339,23,https://next.obudget.org/i/budget/0038/2024
economy,2024,שכר,"שכר בחו""ל",60142000,74152000,74096026,3,https://next.obudget.org/i/budget/0038/2024
economy,2025,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-450268216,12,https://next.obudget.org/i/budget/0038/2025
economy,2025,העברות,סובסידיה,2851391000,1639547000,1860155824,47,https://next.obudget.org/i/budget/0038/2025
economy,2025,העברות,רזרבה,391850000,61097000,0,5,https://next.obudget.org/i/budget/0038/2025
economy,2025,העברות,שכר עקיף,30700000,50629000,28911161,1,https://next.obudget.org/i/budget/0038/2025
economy,2025,העברות פנים תקציביות,השתתפויות,-822667000,-664105000,-643098671,10,https://next.obudget.org/i/budget/0038/2025
economy,2025,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0038/2025
economy,2025,קניות,קניות בארץ,323330000,676806000,514348065,25,https://next.obudget.org/i/budget/0038/2025
economy,2025,קניות,"קניות בחו""ל",1429924000,1183047000,1177091633,5,https://next.obudget.org/i/budget/0038/2025
economy,2025,קניות,רזרבה,157403000,124000,0,5,https://next.obudget.org/i/budget/0038/2025
economy,2025,שכר,רזרבה,9284000,2038000,0,1,https://next.obudget.org/i/budget/0038/2025
economy,2025,שכר,שכר בארץ,160299000,154484000,148779221,19,https://next.obudget.org/i/budget/0038/2025
economy,2025,שכר,"שכר בחו""ל",59399000,77985000,77311665,3,https://next.obudget.org/i/budget/0038/2025
economy,2026,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,,12,https://next.obudget.org/i/budget/0038/2026
economy,2026,העברות,מוצרים ציבוריים,40260000,40260000,,1,https://next.obudget.org/i/budget/0038/2026
economy,2026,העברות,סובסידיה,2522828000,2522828000,,46,https://next.obudget.org/i/budget/0038/2026
economy,2026,העברות,רזרבה,566627000,566627000,,5,https://next.obudget.org/i/budget/0038/2026
economy,2026,העברות פנים תקציביות,השתתפויות,-821749000,-821749000,,8,https://next.obudget.org/i/budget/0038/2026
economy,2026,חשבונות מעבר,חשבונות מעבר,0,0,,1,https://next.obudget.org/i/budget/0038/2026
economy,2026,קניות,קניות בארץ,342838000,342838000,,24,https://next.obudget.org/i/budget/0038/2026
economy,2026,קניות,"קניות בחו""ל",1403499000,1403499000,,5,https://next.obudget.org/i/budget/0038/2026
economy,2026,קניות,רזרבה,186871000,186871000,,4,https://next.obudget.org/i/budget/0038/2026
economy,2026,שכר,רזרבה,9575000,9575000,,1,https://next.obudget.org/i/budget/0038/2026
economy,2026,שכר,שכר בארץ,165020000,165020000,,19,https://next.obudget.org/i/budget/0038/2026
economy,2026,שכר,"שכר בחו""ל",59380000,59380000,,3,https://next.obudget.org/i/budget/0038/2026
education,2023,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-4453143084,22,https://next.obudget.org/i/budget/0020/2023
education,2023,העברות,מוצרים ציבוריים,5067160000,7203358000,6791910036,117,https://next.obudget.org/i/budget/0020/2023
education,2023,העברות,רזרבה,1810720000,91000,0,5,https://next.obudget.org/i/budget/0020/2023
education,2023,העברות,שכר עקיף,35936257000,40164519000,39604538878,98,https://next.obudget.org/i/budget/0020/2023
education,2023,העברות,תמיכות לפי סעיף 3א,1903493000,2665503000,2476666402,44,https://next.obudget.org/i/budget/0020/2023
education,2023,העברות,תשלומי העברה סוציאליים,15289000,12904000,11935594,3,https://next.obudget.org/i/budget/0020/2023
education,2023,העברות פנים תקציביות,הפחתות,0,0,-1,2,https://next.obudget.org/i/budget/0020/2023
education,2023,העברות פנים תקציביות,השתתפויות,67343000,83688000,80602182,11,https://next.obudget.org/i/budget/0020/2023
education,2023,חשבונות מעבר,חשבונות מעבר,0,0,1,1,https://next.obudget.org/i/budget/0020/2023
education,2023,קניות,קניות בארץ,1568317000,3193001000,2038144708,79,https://next.obudget.org/i/budget/0020/2023
education,2023,קניות,"קניות בחו""ל",0,7277000,2916159,2,https://next.obudget.org/i/budget/0020/2023
education,2023,קניות,רזרבה,1161433000,0,0,3,https://next.obudget.org/i/budget/0020/2023
education,2023,שכר,רזרבה,2592033000,0,0,11,https://next.obudget.org/i/budget/0020/2023
education,2023,שכר,שכר בארץ,27654011000,31567460000,34982840106,42,https://next.obudget.org/i/budget/0020/2023
education,2024,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-4518946953,23,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות,מוצרים ציבוריים,5695389000,7872848000,7612600086,113,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות,רזרבה,1942405000,0,0,5,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות,שכר עקיף,38738218000,43629956000,42618675955,96,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות,תמיכות לפי סעיף 3א,2292489000,2640816000,2048686263,32,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות,תשלומי העברה סוציאליים,13923000,20925000,14849982,3,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות פנים תקציביות,הפחתות,0,0,-16213,2,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות פנים תקציביות,השתתפויות,80703000,100391000,71182161,11,https://next.obudget.org/i/budget/0020/2024
education,2024,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0020/2024
education,2024,קניות,קניות בארץ,1854642000,2991387000,1713436143,75,https://next.obudget.org/i/budget/0020/2024
education,2024,קניות,"קניות בחו""ל",2450000,6780000,2597002,1,https://next.obudget.org/i/budget/0020/2024
education,2024,קניות,רזרבה,1175412000,4039000,0,7,https://next.obudget.org/i/budget/0020/2024
education,2024,שכר,רזרבה,2590955000,0,0,11,https://next.obudget.org/i/budget/0020/2024
education,2024,שכר,שכר בארץ,29685199000,33811657000,37083481902,42,https://next.obudget.org/i/budget/0020/2024
education,2025,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-4705695844,23,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,מוצרים ציבוריים,5163583000,8148161000,7891513973,111,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,רזרבה,2072216000,7520000,0,5,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,שכר עקיף,42594418000,46940735000,45437612594,96,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,תמיכות לפי סעיף 3א,1604951000,2144405000,1792496642,32,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,תשלומי העברה סוציאליים,13888000,23368000,20507609,3,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות פנים תקציביות,הפחתות,0,0,-17953,2,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות פנים תקציביות,השתתפויות,97617000,142348000,123380068,11,https://next.obudget.org/i/budget/0020/2025
education,2025,חשבונות מעבר,חשבונות מעבר,0,0,5001,1,https://next.obudget.org/i/budget/0020/2025
education,2025,קניות,קניות בארץ,1719623000,3613114000,2129089461,76,https://next.obudget.org/i/budget/0020/2025
education,2025,קניות,"קניות בחו""ל",3000000,6663000,3286852,1,https://next.obudget.org/i/budget/0020/2025
education,2025,קניות,רזרבה,987319000,527884000,0,3,https://next.obudget.org/i/budget/0020/2025
education,2025,שכר,רזרבה,3616887000,0,0,11,https://next.obudget.org/i/budget/0020/2025
education,2025,שכר,שכר בארץ,31925695000,34746942000,38013293621,41,https://next.obudget.org/i/budget/0020/2025
education,2026,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,,22,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,מוצרים ציבוריים,5348042000,5348042000,,102,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,רזרבה,2595611000,2595611000,,9,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,שכר עקיף,46321053000,46321053000,,92,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,תמיכות לפי סעיף 3א,1536855000,1536855000,,30,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,תשלומי העברה סוציאליים,11742000,11742000,,3,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות פנים תקציביות,הפחתות,0,0,,2,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות פנים תקציביות,השתתפויות,53750000,53750000,,10,https://next.obudget.org/i/budget/0020/2026
